"url","fetch_time","content_mime_type","warc_filename","warc_record_offset","warc_record_length"
"https://www.aripaev.ee/uudised/2009/10/28/apple-ja-amazon-teevad-imet","2018-03-17 22:04:09.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257645362.1/warc/CC-MAIN-20180317214032-20180317234032-00106.warc.gz","772757570","30509"
"https://www.aripaev.ee/uudised/2018/03/14/rootsi-meedia-raagib-amazoni-tulekust","2018-03-18 21:26:31.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257646176.6/warc/CC-MAIN-20180318204522-20180318224522-00271.warc.gz","732360550","30317"
"http://atf.ee/computers-and-tablets/ebooks/amazon-kindle-paperwhite-3-white/","2018-03-23 20:30:33.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257648594.80/warc/CC-MAIN-20180323200519-20180323220519-00575.warc.gz","25110600","22286"
"http://community.mis.temple.edu/mis4596sec002spring2018/2018/02/06/why-microsoft-is-ruling-the-cloud-ibm-is-matching-amazon-and-google-is-15-billion-behind-2/","2018-03-21 11:09:06.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647612.53/warc/CC-MAIN-20180321102234-20180321122234-00456.warc.gz","64873250","9594"
"http://community.mis.temple.edu/mis4596sec003s18/2018/03/01/is-amazon-capable-of-transforming-healthcare/","2018-03-18 11:33:17.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257645613.9/warc/CC-MAIN-20180318110736-20180318130736-00749.warc.gz","59831297","15792"
"http://community.mis.temple.edu/mis4596sec003s18/2018/03/01/is-amazon-capable-of-transforming-healthcare/","2018-03-24 12:16:52.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257650262.65/warc/CC-MAIN-20180324112821-20180324132821-00749.warc.gz","61598180","15791"
"http://community.mis.temple.edu/mis5211sec001fall17/2017/12/01/amazon-to-let-delivery-drivers-open-your-front-door/","2018-03-22 11:31:46.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647883.57/warc/CC-MAIN-20180322112241-20180322132241-00330.warc.gz","59801252","8967"
"http://community.mis.temple.edu/mis5211sec001fall17/2017/12/01/amazon-to-let-delivery-drivers-open-your-front-door/","2018-03-24 14:03:39.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257650685.77/warc/CC-MAIN-20180324132337-20180324152337-00330.warc.gz","61693054","8969"
"https://news.temple.edu/news/2017-11-29/students-milk-and-vine-book-goes-viral-amazon-best-seller","2018-03-22 11:43:26.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647883.57/warc/CC-MAIN-20180322112241-20180322132241-00206.warc.gz","611248707","11879"
"http://themadeleine.edu/amazon/","2018-03-25 01:12:37.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257651481.98/warc/CC-MAIN-20180325005509-20180325025509-00694.warc.gz","301895092","904"
